facility_code,facility_type,facility_name,open_pending
CAC,C,ADAMS COUNTY CORR CTR CCM,P
CAT,C,ATLANTA CCM,O
CBR,C,BALTIMORE CCM,O
CBS,C,BIG SPRING CCM,P
CBN,C,BOSTON CCM,O
CCF,C,CALIFORNIA CITY CCM,P
CCH,C,CHICAGO CCM,O
CCB,C,CIBOLA COUNTY CCM,P
CCN,C,CINCINNATI CCM,O
CRJ,C,D. RAY JAMES CORR FCL CCM,P
CDL,C,DALBY CCM,P
CDA,C,DALLAS CCM,O
CDE,C,DENVER CCM,O
CDT,C,DETROIT CCM,O
CDC,C,DIST OF COLUMBIA CCM,O
CED,C,EDEN CCM,P
CEP,C,EL PASO CCM,O
CGP,C,GREAT PLAINS CCM,P
CHN,C,HOUSTON CCM,O
CKC,C,KANSAS CITY CCM,O
CLI,C,LIMESTONE CCM,P
CLB,C,LONG BEACH CCM,O
CMC,C,MCRAE CCM,P
CMM,C,MIAMI CCM,O
CMI,C,MILWAUKEE CCM,O
CMS,C,MINNEAPOLIS CCM,O
CMY,C,MONTGOMERY CCM,O
CMV,C,MOSHANNON VALLEY CCM,P
CNV,C,NASHVILLE CCM,O
CNO,C,NEW ORLEANS CCM,O
CNK,C,NEW YORK CCM,O
COR,C,ORLANDO CCM,O
CPA,C,PHILADELPHIA CCM,O
CPH,C,PHOENIX CCM,O
CPG,C,PITTSBURGH CCM,O
CRL,C,RALEIGH CCM,O
CRE,C,REEVES CCM,P
CRS,C,REEVES DC CCM,P
CRV,C,RIVERS CCM,P
CSC,C,SACRAMENTO CCM,O
CSL,C,SALT LAKE CITY CCM,O
CSA,C,SAN ANTONIO CCM,O
CSE,C,SEATTLE CCM,O
CST,C,ST LOUIS CCM,O
CTF,C,TAFT CCM,P
ACC,T,ADAMS COUNTY CORR CTR CI,O
ALD,T,ALDERSON FPC,O
ALI,T,ALICEVILLE FCI,O
ALF,T,ALLENWOOD LOW FCI,O
ALM,T,ALLENWOOD MED FCI,O
ALP,T,ALLENWOOD USP,O
ASH,T,ASHLAND FCI,O
ATL,T,ATLANTA USP,O
ATW,T,ATWATER USP,O
BAS,T,BASTROP FCI,O
BMA,T,BEAUMONT ADMIN,P
BML,T,BEAUMONT LOW FCI,O
BMM,T,BEAUMONT MED FCI,O
BMP,T,BEAUMONT USP,O
BEC,T,BECKLEY FCI,O
BEN,T,BENNETTSVILLE FCI,O
BER,T,BERLIN FCI,O
BSY,T,BIG SANDY USP,O
BSC,T,BIG SPRING CI,O
BIG,T,BIG SPRING FCI,O
BRO,T,BROOKLYN MDC,O
BRY,T,BRYAN FPC,O
BUH,T,BUTNER FMC,O
BUF,T,BUTNER LOW FCI,O
BUT,T,BUTNER MED I FCI,O
BTF,T,BUTNER MED II FCI,O
CAA,T,CANAAN USP,O
CRW,T,CARSWELL FMC,O
CCC,T,CHICAGO MCC,O
CIB,T,CIBOLA COUNTY CI,O
COA,T,COLEMAN ADMIN,P
COP,T,COLEMAN I USP,O
CLP,T,COLEMAN II USP,O
COL,T,COLEMAN LOW FCI,O
COM,T,COLEMAN MED FCI,O
CUM,T,CUMBERLAND FCI,O
DRJ,T,D. RAY JAMES CORR FACL CI,O
DAL,T,DALBY CI,O
DAN,T,DANBURY FCI,O
DEV,T,DEVENS FMC,O
DUB,T,DUBLIN FCI,O
DTH,T,DULUTH FPC,O
EDN,T,EDEN CI,O
EDG,T,EDGEFIELD FCI,O
ERE,T,EL RENO FCI,O
ELK,T,ELKTON FCI,O
ENG,T,ENGLEWOOD FCI,O
EST,T,ESTILL FCI,O
FAI,T,FAIRTON FCI,O
FLM,T,FLORENCE ADMAX USP,O
FLF,T,FLORENCE FCI,O
FLP,T,FLORENCE HIGH USP,O
FOR,T,FORREST CITY FCI,O
FOM,T,FORREST CITY MED FCI,O
FTD,T,FORT DIX FCI,O
FTW,T,FORT WORTH FCI,O
GIL,T,GILMER FCI,O
GPC,T,GREAT PLAINS CI,O
GRE,T,GREENVILLE FCI,O
GUA,T,GUAYNABO MDC,O
HAF,T,HAZELTON FCI,O
HAZ,T,HAZELTON USP,O
HER,T,HERLONG FCI,O
HON,T,HONOLULU FDC,O
HOU,T,HOUSTON FDC,O
JES,T,JESUP FCI,O
LAT,T,LA TUNA FCI,O
LVN,T,LEAVENWORTH USP,O
LEE,T,LEE USP,O
LEW,T,LEWISBURG USP,O
LEX,T,LEXINGTON FMC,O
LIM,T,LIMESTONE DC,O
LOF,T,LOMPOC FCI,O
LOM,T,LOMPOC USP,O
LOR,T,LORETTO FCI,O
LOS,T,LOS ANGELES MDC,O
MAN,T,MANCHESTER FCI,O
MNA,T,MARIANNA FCI,O
MAR,T,MARION USP,O
MCR,T,MCCREARY USP,O
MCD,T,MCDOWELL FCI,O
MCK,T,MCKEAN FCI,O
MCA,T,MCRAE CI,O
MEM,T,MEMPHIS FCI,O
MEN,T,MENDOTA FCI,O
MIA,T,MIAMI FCI,O
MIM,T,MIAMI FDC,O
MIL,T,MILAN FCI,O
MON,T,MONTGOMERY FPC,O
MRG,T,MORGANTOWN FCI,O
MVC,T,MOSHANNON VALLEY CI,O
NYM,T,NEW YORK MCC,O
OAK,T,OAKDALE I FCI,O
OAD,T,OAKDALE II FCI,O
OKL,T,OKLAHOMA CITY FTC,O
OTV,T,OTISVILLE FCI,O
OXF,T,OXFORD FCI,O
PEK,T,PEKIN FCI,O
PEN,T,PENSACOLA FPC,O
PET,T,PETERSBURG FCI,O
PEM,T,PETERSBURG MED FCI,O
PHL,T,PHILADELPHIA FDC,O
PHX,T,PHOENIX FCI,O
POM,T,POLLOCK MED FCI,O
POL,T,POLLOCK USP,O
RBK,T,RAY BROOK FCI,O
REE,T,REEVES CI,O
RVS,T,REEVES DC,O
RIV,T,RIVERS CI,O
RCH,T,ROCHESTER FMC,O
SAF,T,SAFFORD FCI,O
SDC,T,SAN DIEGO MCC,O
SST,T,SANDSTONE FCI,O
SCH,T,SCHUYLKILL FCI,O
SEA,T,SEAGOVILLE FCI,O
SET,T,SEATAC FDC,O
SHE,T,SHERIDAN FCI,O
SPG,T,SPRINGFIELD USMCFP,O
TAF,T,TAFT CI,O
TDG,T,TALLADEGA FCI,O
TAL,T,TALLAHASSEE FCI,O
TRM,T,TERMINAL ISLAND FCI,O
THA,T,TERRE HAUTE FCI,O
THP,T,TERRE HAUTE USP,O
TEX,T,TEXARKANA FCI,O
TOM,T,THOMSON ADMIN USP,O
TRV,T,THREE RIVERS FCI,O
TCN,T,TUCSON FCI,O
TCP,T,TUCSON USP,O
VIM,T,VICTORVILLE MED I FCI,O
VVM,T,VICTORVILLE MED II FCI,O
VIP,T,VICTORVILLE USP,O
WAS,T,WASECA FCI,O
WIL,T,WILLIAMSBURG FCI,O
YAN,T,YANKTON FPC,O
YAZ,T,YAZOO CITY FCI,O
YAM,T,YAZOO CITY MED FCI,O
YAP,T,YAZOO CITY USP,O
NEO,,NE OHIO CORR CTR CI,
CAL,,CALIFORNIA CITY CI,
EGL,,EGLIN FPC,
SEY,,SEYMOUR JOHNSN FPC,
ALW,,ALLENWOOD FPC,
NEL,,NELLIS FPC,
NLK,,NORTH LAKE CI,
ELO,,ELOY DC,
BSF,,BIG SPRING CI FL,
WLC,,WILLACY CI,
ELP,,EL PASO FPC,
PPR,,PINE PRAIRIE CI,
CSF,,SAN FRANCISCO CCM,
